x,y,z,Rx,Ry,Rz
20,30,59,0,0,0
19,29,59,0,0,0
18,28,59,0,0,0
18,27,59,0,0,0
17,26,59,0,0,0
16,25,59,0,0,0
15,24,59,0,0,0
15,23,59,0,0,0
14,22,59,0,0,0
13,21,59,0,0,0
12,20,59,0,0,0
12,19,59,0,0,0
11,18,59,0,0,0
10,17,59,0,0,0
10,17,58,0,0,0
10,17,57,0,0,0
10,17,56,0,0,0
10,17,55,0,0,0
10,17,54,0,0,0
10,17,53,0,0,0
10,17,52,0,0,0
10,17,51,0,0,0
10,17,50,0,0,0
10,17,49,0,0,0
11,16,49,0,0,0
11,17,49,0,0,0
11,18,48,0,0,0
11,18,47,0,0,0
11,18,48,0,0,0
11,19,49,0,0,0
11,19,50,0,0,0
12,19,50,0,0,0
12,19,49,0,0,0
12,18,48,0,0,0
12,18,47,0,0,0
12,18,46,0,0,0
12,18,47,0,0,0
12,18,48,0,0,0
12,17,49,0,0,0
12,17,50,0,0,0
12,17,51,0,0,0
12,17,52,0,0,0
12,17,53,0,0,0
12,17,54,0,0,0
12,17,55,0,0,0
12,17,56,0,0,0
12,17,57,0,0,0
12,17,58,0,0,0
12,17,59,0,0,0
12,18,59,0,0,0
12,19,59,0,0,0
12,20,59,0,0,0
13,21,59,0,0,0
13,22,59,0,0,0
13,23,59,0,0,0
13,24,59,0,0,0
13,24,58,0,0,0
13,24,57,0,0,0
13,24,56,0,0,0
13,24,55,0,0,0
13,24,54,0,0,0
13,24,53,0,0,0
13,24,52,0,0,0
13,24,51,0,0,0
13,24,50,0,0,0
13,24,49,0,0,0
13,23,49,0,0,0
14,23,49,0,0,0
14,24,48,0,0,0
15,24,47,0,0,0
15,24,48,0,0,0
15,23,49,0,0,0
16,23,49,0,0,0
16,24,48,0,0,0
16,24,47,0,0,0
17,24,48,0,0,0
17,23,48,0,0,0
18,23,48,0,0,0
18,24,48,0,0,0
18,24,49,0,0,0
18,24,50,0,0,0
18,24,51,0,0,0
18,24,52,0,0,0
18,24,53,0,0,0
18,24,54,0,0,0
18,24,55,0,0,0
18,24,56,0,0,0
18,24,57,0,0,0
18,24,58,0,0,0
18,24,59,0,0,0
19,24,59,0,0,0
20,24,59,0,0,0
21,24,59,0,0,0
22,24,59,0,0,0
23,25,59,0,0,0
24,25,59,0,0,0
25,25,59,0,0,0
26,25,59,0,0,0
26,25,58,0,0,0
26,25,57,0,0,0
26,25,56,0,0,0
26,25,55,0,0,0
26,25,54,0,0,0
26,25,53,0,0,0
26,25,52,0,0,0
26,25,51,0,0,0
26,25,50,0,0,0
26,25,49,0,0,0
26,25,48,0,0,0
26,25,47,0,0,0
26,24,48,0,0,0
26,24,49,0,0,0
27,24,49,0,0,0
27,24,48,0,0,0
27,25,47,0,0,0
27,25,48,0,0,0
28,24,49,0,0,0
28,24,50,0,0,0
28,24,51,0,0,0
28,24,52,0,0,0
28,24,53,0,0,0
28,24,54,0,0,0
28,24,55,0,0,0
28,24,56,0,0,0
28,24,57,0,0,0
28,24,58,0,0,0
28,24,59,0,0,0
