x,y,z,Rx,Ry,Rz
20,30,59,0,0,0
19,30,59,0,0,0
18,30,59,0,0,0
17,30,59,0,0,0
16,29,59,0,0,0
15,29,59,0,0,0
14,29,59,0,0,0
13,29,59,0,0,0
12,29,59,0,0,0
11,28,59,0,0,0
10,28,59,0,0,0
9,28,59,0,0,0
8,28,59,0,0,0
8,28,58,0,0,0
8,28,57,0,0,0
8,28,56,0,0,0
8,28,55,0,0,0
8,28,54,0,0,0
8,28,53,0,0,0
8,28,52,0,0,0
8,27,51,0,0,0
8,26,51,0,0,0
9,25,51,0,0,0
9,24,51,0,0,0
9,25,50,0,0,0
9,26,51,0,0,0
9,27,51,0,0,0
9,28,52,0,0,0
9,29,52,0,0,0
10,29,51,0,0,0
10,28,51,0,0,0
10,27,50,0,0,0
10,26,51,0,0,0
10,25,52,0,0,0
10,24,51,0,0,0
11,24,51,0,0,0
11,25,52,0,0,0
11,26,52,0,0,0
11,26,51,0,0,0
11,27,50,0,0,0
11,27,49,0,0,0
11,28,49,0,0,0
11,29,48,0,0,0
11,30,48,0,0,0
11,31,48,0,0,0
11,32,49,0,0,0
11,33,48,0,0,0
11,34,48,0,0,0
12,35,49,0,0,0
12,34,48,0,0,0
12,34,47,0,0,0
12,33,47,0,0,0
12,32,48,0,0,0
12,31,47,0,0,0
12,30,48,0,0,0
12,29,49,0,0,0
12,29,50,0,0,0
12,28,51,0,0,0
12,28,52,0,0,0
12,29,51,0,0,0
13,30,51,0,0,0
13,31,50,0,0,0
13,32,49,0,0,0
13,32,48,0,0,0
13,32,47,0,0,0
13,32,46,0,0,0
13,33,45,0,0,0
13,33,44,0,0,0
13,34,45,0,0,0
13,34,46,0,0,0
13,35,47,0,0,0
13,35,48,0,0,0
13,36,49,0,0,0
13,36,48,0,0,0
14,36,47,0,0,0
14,36,46,0,0,0
14,35,47,0,0,0
14,34,46,0,0,0
14,34,45,0,0,0
14,33,44,0,0,0
14,34,45,0,0,0
15,35,46,0,0,0
15,36,46,0,0,0
15,36,47,0,0,0
15,36,48,0,0,0
15,36,49,0,0,0
15,36,50,0,0,0
15,36,51,0,0,0
15,36,52,0,0,0
15,36,53,0,0,0
15,36,54,0,0,0
15,36,55,0,0,0
15,36,56,0,0,0
15,36,57,0,0,0
15,36,58,0,0,0
15,36,59,0,0,0
16,35,59,0,0,0
17,34,59,0,0,0
18,34,59,0,0,0
19,33,59,0,0,0
20,32,59,0,0,0
21,31,59,0,0,0
21,31,58,0,0,0
21,31,57,0,0,0
21,31,56,0,0,0
21,31,55,0,0,0
21,31,54,0,0,0
21,31,53,0,0,0
21,31,52,0,0,0
21,31,51,0,0,0
21,31,50,0,0,0
21,31,49,0,0,0
21,31,48,0,0,0
21,30,48,0,0,0
21,29,49,0,0,0
21,29,48,0,0,0
22,29,47,0,0,0
22,29,46,0,0,0
22,30,45,0,0,0
22,31,45,0,0,0
22,31,46,0,0,0
22,32,47,0,0,0
22,32,48,0,0,0
22,33,49,0,0,0
22,34,48,0,0,0
23,34,47,0,0,0
23,33,46,0,0,0
23,32,46,0,0,0
23,31,45,0,0,0
23,30,45,0,0,0
23,29,46,0,0,0
23,30,47,0,0,0
24,30,48,0,0,0
24,31,49,0,0,0
24,32,50,0,0,0
24,32,49,0,0,0
24,33,48,0,0,0
24,33,47,0,0,0
24,34,47,0,0,0
24,34,48,0,0,0
24,34,49,0,0,0
24,34,50,0,0,0
24,34,51,0,0,0
24,34,52,0,0,0
24,34,53,0,0,0
24,34,54,0,0,0
24,34,55,0,0,0
24,34,56,0,0,0
24,34,57,0,0,0
24,34,58,0,0,0
24,34,59,0,0,0
24,33,59,0,0,0
24,32,59,0,0,0
25,31,59,0,0,0
25,30,59,0,0,0
25,29,59,0,0,0
26,28,59,0,0,0
26,27,59,0,0,0
26,26,59,0,0,0
26,26,58,0,0,0
26,26,57,0,0,0
26,26,56,0,0,0
26,26,55,0,0,0
26,26,54,0,0,0
26,26,53,0,0,0
26,26,52,0,0,0
27,26,52,0,0,0
27,26,51,0,0,0
27,27,50,0,0,0
28,27,49,0,0,0
28,27,50,0,0,0
28,26,51,0,0,0
28,26,52,0,0,0
28,25,52,0,0,0
29,25,52,0,0,0
29,25,51,0,0,0
29,26,50,0,0,0
29,26,49,0,0,0
29,27,48,0,0,0
29,27,49,0,0,0
30,26,50,0,0,0
30,26,51,0,0,0
30,26,52,0,0,0
30,25,52,0,0,0
30,25,53,0,0,0
30,25,54,0,0,0
30,25,55,0,0,0
30,25,56,0,0,0
30,25,57,0,0,0
30,25,58,0,0,0
30,25,59,0,0,0
29,26,59,-3,0,0
28,26,59,-6,0,0
28,27,59,-9,0,0
27,28,59,-12,0,0
26,29,59,-15,0,0
25,29,59,-18,0,0
24,30,59,-21,0,0
23,31,59,-24,0,0
22,32,59,-27,0,0
22,32,59,-30,0,0
21,33,59,-33,0,0
20,34,59,-36,0,0
19,35,59,-39,0,0
18,35,59,-42,0,0
18,36,59,-45,0,0
17,37,59,-48,0,0
16,37,59,-51,0,0
15,38,59,-54,0,0
14,39,59,-57,0,0
13,40,59,-60,0,0
12,40,59,-63,0,0
12,41,59,-66,0,0
11,42,59,-69,0,0
10,43,59,-72,0,0
9,43,59,-75,0,0
8,44,59,-78,0,0
8,45,59,-81,0,0
7,46,59,-84,0,0
6,46,59,-87,0,0
5,47,59,-90,0,0
5,47,58,-90,0,-3
5,47,57,-90,0,-3
5,47,56,-90,0,-6
5,47,55,-90,0,-6
5,47,54,-90,0,-9
5,47,53,-90,0,-9
5,47,52,-90,0,-12
5,47,51,-90,0,-12
5,47,50,-90,0,-15
5,47,49,-90,0,-15
5,47,48,-90,0,-18
5,47,47,-90,0,-18
5,47,46,-90,0,-21
5,47,45,-90,0,-21
5,47,44,-90,0,-24
5,47,43,-90,0,-24
5,47,42,-90,0,-27
5,47,41,-90,0,-27
5,47,40,-90,0,-30
5,47,39,-90,0,-30
5,47,38,-90,0,-30
5,46,38,-90,0,-30
5,45,38,-90,0,-30
5,44,38,-90,0,-30
5,43,38,-90,0,-30
5,42,38,-90,0,-30
5,41,38,-90,0,-30
5,40,38,-90,0,-30
5,39,38,-90,0,-30
5,38,38,-90,0,-30
5,37,38,-90,0,-30
5,36,38,-90,0,-30
5,35,38,-90,0,-30
5,34,38,-90,0,-30
5,33,38,-90,0,-30
5,32,38,-90,0,-30
5,31,37,-90,0,-30
5,31,36,-90,0,-30
5,30,35,-90,0,-30
6,30,35,-90,0,-30
6,31,36,-90,0,-30
6,31,37,-90,0,-30
6,31,38,-90,0,-30
6,32,39,-90,0,-30
6,32,40,-90,0,-30
7,33,41,-90,0,-30
7,33,40,-90,0,-30
7,32,39,-90,0,-30
7,32,38,-90,0,-30
7,32,37,-90,0,-30
7,32,36,-90,0,-30
7,32,35,-90,0,-30
8,33,35,-90,0,-30
8,33,36,-90,0,-30
8,33,37,-90,0,-30
8,33,38,-90,0,-30
8,33,39,-90,0,-30
8,33,40,-90,0,-30
8,33,41,-90,0,-30
8,33,40,-90,0,-30
8,34,39,-90,0,-30
8,34,38,-90,0,-30
8,34,37,-90,0,-30
8,34,38,-90,0,-30
8,34,39,-90,0,-30
8,34,40,-90,0,-30
8,35,40,-90,0,-30
9,36,41,-90,0,-30
9,35,40,-90,0,-30
9,34,39,-90,0,-30
9,35,38,-90,0,-30
9,34,37,-90,0,-30
9,34,36,-90,0,-30
9,35,35,-90,0,-30
10,34,36,-90,0,-30
10,35,35,-90,0,-30
10,35,36,-90,0,-30
10,35,37,-90,0,-30
10,35,38,-90,0,-30
10,35,39,-90,0,-30
10,36,40,-90,0,-30
10,36,41,-90,0,-30
11,36,41,-90,0,-30
11,36,40,-90,0,-30
11,36,39,-90,0,-30
11,36,38,-90,0,-30
11,36,37,-90,0,-30
11,35,36,-90,0,-30
11,36,35,-90,0,-30
11,36,34,-90,0,-30
12,36,35,-90,0,-30
12,36,36,-90,0,-30
12,37,35,-90,0,-30
12,37,36,-90,0,-30
12,37,37,-90,0,-30
12,37,38,-90,0,-30
12,37,39,-90,0,-30
12,37,40,-90,0,-30
12,37,41,-90,0,-30
12,38,41,-90,0,-30
13,39,41,-90,0,-30
13,38,40,-90,0,-30
13,38,39,-90,0,-30
13,38,38,-90,0,-30
13,38,37,-90,0,-30
13,37,36,-90,0,-30
13,38,35,-90,0,-30
14,38,36,-90,0,-30
14,39,35,-90,0,-30
14,39,36,-90,0,-30
14,39,37,-90,0,-30
14,39,38,-90,0,-30
14,40,37,-90,0,-30
15,40,36,-90,0,-30
15,41,36,-90,0,-30
15,42,36,-90,0,-30
15,43,36,-90,0,-30
15,44,36,-90,0,-30
15,45,36,-90,0,-30
15,46,36,-90,0,-30
15,47,36,-90,0,-30
15,47,37,-90,0,-30
15,47,38,-90,0,-27
15,47,39,-90,0,-27
15,47,40,-90,0,-24
15,47,41,-90,0,-24
15,47,42,-90,0,-21
15,47,43,-90,0,-21
15,47,44,-90,0,-18
15,47,45,-90,0,-18
15,47,46,-90,0,-15
15,47,47,-90,0,-15
15,47,48,-90,0,-12
15,47,49,-90,0,-12
15,47,50,-90,0,-9
15,47,51,-90,0,-9
15,47,52,-90,0,-6
15,47,53,-90,0,-6
15,47,54,-90,0,-3
15,47,55,-90,0,-3
15,47,56,-90,0,0
15,46,56,-87,0,0
15,46,56,-84,0,0
15,45,56,-81,0,0
15,45,56,-78,0,0
15,44,56,-75,0,0
15,44,56,-72,0,0
